author,normalized_content,normalized_title
Marilina Rébora,madre cuéntame cuento ésos relatan curioso enanito audaz sirena tantos genios maravillosos tratan lindas historias conoces sé buena dime caballeros princesas rescatan dominio monstruos dragón buitre ballena nadie muere hombres matan historias países saben pena cuéntame cuento madre quiero dormir escuchando voz asido mano hansel gretel sueños hermano aunque sombra andaremos tras misma senda escribiremos juntos propia leyenda tal vez chicos dejarás sufrir,cuéntame cuento madre
Luis de Góngora,dos lucientes estrellas estrellas rayos negros dividido visto sol breve espacio cielo luciente oficio hacen estrellas venus mañanas alba noches lucero formas perfilan oro milagrosamente haciendo bellezas oscuras sino oscuros bellos cuyos rayos llaves puerto si puertos mar golfos estrechos tan piadosos aunque pues vemos visten rayos luto cuantas vidas muerto,dos lucientes estrellas
Francisco Álvarez,ven hacia silencio sonrisa abierta absorbiendo ojos noche iluminada deslízame mano imperceptible oferta rayo luna depositó almohada reclínate alfombra oye rumor fuego cuyas lenguas nerviosas erotizan leño calor cuerpo revitalice luego encienda mirada acaricie sueño lado suelo veré diablos rojos llamas inquietas mano mano chispas revueltas danzarán ojos estrellas fugaces cielo lejano descenderá brazo hombro cintura despertando temblores piel descubierta acercarás rostro bañado ternura aspirar besos boca entreabierta cien lenguas fuego deslizan lascivas torno tronco envuelto abrazo ardiente trémulas manos arrastrarán furtivas asiendo miembro erecto gentil firmemente mirar directo flotan complicidades acercan mundo intensidad amante percibo entrega calmo ansiedades mientras dedos retienes vibrante lame incesante fuego cálida boca aquel sequedades humedades ésta labios resbalan paladar toca relieves impulsos amor manifiesta arde leño tregua ligeros chasquidos elevan llamas ondas desiguales ascenso descenso rítmicos sonidos profundos tensos contactos guturales leño retuerce bajo calor intenso explota alegría amplia llamarada ojos revelan repentino denso fluir surtidores garganta infiltrada lumbre extingue tronco deshecho ven mujer sonríe abrázame apacible reposa cabeza gentil pecho soñemos sueño futuro tangible,junto fuego
Pablo Neruda,recabarren hijo chile padre chile padre construcción línea fraguada tierras tormentos nace fuerza días venideros vencedores patria pampa pueblo arena arcilla escuela casa resurrección puño ofensiva orden desfile ataque trigo lucha grandeza resistencia recabarren bajo mirada juramos limpiar heridas mutilaciones patria juramos libertad levantará flor desnuda arena deshonrada juramos continuar camino victoria pueblo,padre chile
Bertolt Brecht,ay sé deberla reconocer tiemblo mano toca ay sucedido rezo seduzca ay cien caballos arrastrarían pecado si menos apeteciese si resisto amor sólo resistido realmente fondo sé si camisón dejaría camisa van importar reproches si menos apeteciese dudo valga amor verdad ahorros gastado tirará cacharro basura ay sé opuse tanta resistencia si menos apeteciese si dos dedos nunca concedido desgracia pidió sino habrla pegado paliza cuanto acercó demasiado hizo ay ojalá infierno si menos apeteciese,canción viuda enamorada
Federico García Lorca,mariposas negras va muchacha morena junto blanca serpiente niebla tierra luz cielo tierra va encadenada temblor ritmo nunca llega corazón plata puñal diestra adónde vas siguiriya ritmo cabeza luna recogerá dolor cal adelfa tierra luz cielo tierra,paso siguiriya
José Ángel Valente,amor gesto amor queda vacío signo solo leño hogar mas llama viva rito hombre acaso empezamos repetir palabras pueden conjurar perdido frente frente extensión desierta separa noche cae damos desesperadamente esperanza solo amor abra labios luz día,solo amor
José María Hinojosa,cuerda guitarra rompe templarla punta flecha untada tristeza gira estrella vacío deja deslumbrada caverna silencio silencio abriendo nuevos cauces momento quita letanías desierto desierto sentimiento vuelve espeso,dolor
Gonzalo Rojas,hilda centaura amor asma ahogo aire ábreme alta única anclada ahí bueno avión palo yaces vidrio tablas precipicias adentro esbeltez grandes pies hermosos espinazo yegua faraón tan difícil resuello entiendes asma amor,asma amor
María Eugenia Caseiro,abuela hermanas madre palomas reposo hogar puerta discordia pan sale manos tan llenas siempre cobijar mañanas dedos relucen palomas olorosas ángeles guarda nadie destreza ensartar agujas arcángel esponjoso suma amar amar dotado trazos merengue ángeles recién horneados efímera paciencia vida gota estrellas contar vuelvo adentro adentros recuerdan vaivén pulmones arterias calientes agita sabe gota pura blanda gota ojos concebida travesía vertical mar toda hora reposo isótopos allá afuera mueven hermanas colmadas extensiones purísimas isótopos misma suerte devanar hilo comenzable nostalgia riesgo entiende torpeza riesgo vida nacer desdoblado fantasma surcado nombre toca respondo saber hacer mido muerte allí dios hoy padre tranquilamente amarillo azotado,isótopos
Mario Benedetti,esperando viento doble ramas nivel aguas llegue arena esperando cielo forme barro pies tierra mueva sola pueblo quieto cómo sabes cómo sabes todavía viento marea lluvia terremoto,calma chicha
