author,normalized_content,normalized_title
Federico García Lorca,perdido muchas veces mar oído lleno flores recién cortadas lengua llena amor agonía muchas veces perdido mar pierdo corazón niños nadie dar beso sienta sonrisa gente rostro nadie tocar recién nacido olvide inmóviles calaveras caballo rosas buscan frente duro paisaje hueso manos hombre imitar raíces bajo tierra pierdo corazón niños perdido muchas veces mar ignorante agua voy buscando muerte luz consuma,gacela huida
Jorge Guillén,dije pleno álamo vibró hojas plateadas sonaron amor verdes grises amor sol entonces mediodía pájaro sumió cantar viento tal adoración sintió cantada bajo viento flor crecida mieses altas centro aquel instante alrededor veía completo dios dije completo doce reloj,doce reloj
Dina Posada,ajeno pensamientos huiste casto silencio hoy sedienta sangre busca golpes ruegos insinúas enajenado prosigues riguroso oprimido largamente oscuro pasillo convento desolado ángel dura delicia apático orgasmo rebelde erizado temblor pólvora vulnerable regresa aniquílame,plegaria orgasmo
Roxana Popelka,significa cuestión dispositivo entonces entiendo creo comienzos historia mesa amarilla teñida asustarme cuatro rotuladores verde marrón rojo negro creo papeles esparcidos mesa botella semivacía dejé olvidada sé podía ser fácil humilde sencillo quiero laves bueno interrumpas si digo incoherente quiero observes mientras duermo quiero acontecimiento memorable vez chistes muecas inútiles olvídalo verdadero gestos palabras trazos pompas jabón,allí ve desierto
Federico García Lorca,arbolé arbolé seco verdé niña bello rostro cogiendo aceituna viento galán torres prende cintura pasaron cuatro jinetes jacas andaluzas trajes azul verde largas capas oscuras vente córdoba muchacha niña escucha pasaron tres torerillos delgaditos cintura trajes color naranja espadas plata antigua vente sevilla muchacha niña escucha tarde puso morada luz difusa pasó joven llevaba rosas mirtos luna vente granada muchacha niña escucha niña bello rostro sigue cogiendo aceituna brazo gris viento ceñido cintura arbolé arbolé seco verdé,arbolé arbolé
Manuel Altolaguirre,soledad llevo dentro torre ciegas ventanas brazos extiendo abro puertas entrada doy camino alfombrado quiera visitarla pintó recuerdo cuadros decoran estancias allí pasadas dichas pena hoy contrastan juntos dos quién cuerpo quién alma separación última muerte tan amarga ahora dentro llevo alta soledad delgada,separación
Oliverio Girondo,cresta candor niño envión varón osar izar flamante gozo autoengendrar hundido propio ego pozo nimio virgo vicio semi tic trauma trac toc novicios novococo inédito mero medio huevo menos nuevo inmerso subyo intimísimo volver ver reverdecer fe ser creer crear croar croar ende duende visiblemente real inexistente hacer hacer dentro nido umbrío tibio hijo mito mixto silbo ido hipo divo ídolo rancia última instancia cotidiano entreasco escoplo soplo mago remodelar orificios psíquicos físicos corrientes espectro diario desnutre mecha lazariento anhelo todavía yerga si pudiera darle proa lengua darle olas lengua furias reflujos mareas cráter cosmos cráter,
Oliverio Girondo,trasfondos in extremis médium noche entreabrir huesos mitoformas aliardidas presencias semimorfas sotopausas sosoplos enllagada líbido posesa noche vendas grislumbres tras esmeriles párpados videntes atónitos yesos inmóvil refluido herido interrogante noche lívida cribadas voces suburbanas sangres ausencia remansos omóplatos agrinsomnes dragas hambrientas ahora limo idos pasos incorpórea ubicua escarbando incierto puede ser muerte demente célibe muleta noche deserta,noche tótem
Pablo Neruda,noche mano brilló luciérnaga reloj oí cuerda susurro seco salía mano invisible mano entonces volvió pecho oscuro recoger sueño latido reloj siguió cortando tiempo pequeña sierra bosque caen fragmentos madera mínimas gotas trozos ramajes nidos cambie silencio fresca oscuridad termine así siguió reloj cortando mano invisible tiempo tiempo cayeron minutos hojas fibras tiempo roto pequeñas plumas negras bosque olíamos raíces agua algún sitio desprendía gotera gruesa uva mojada pequeño molino molía noche sombra susurraba cayendo mano llenaba tierra polvo tierra distancia molía molía reloj noche mano puse brazo bajo cuello invisible bajo peso tibio mano cayó tiempo noche pequeños ruidos madera bosque noche dividida fragmentos sombra agua cae cae entonces cayó sueño reloj dos manos dormidas cayó agua oscura bosques reloj cuerpo hacia países agua oscura tiempo cae corre adentro así aquella noche sombra espacio tierra tiempo corre cae pasa así todas noches van tierra dejan sino vago aroma negro cae hoja gota tierra apaga sonido duerme bosque aguas praderas campanas ojos oigo respiras amor dormimos,oda reloj noche
Julia de Burgos,ola abandono derribada tendida inmenso azul sueños alas danzas agua redonda ojos canción fresca colgando labios sueltes viento todavía azota fuerte brazos mojados quiero perderte sílaba día gaviota ave vida pasos siempre enigma pájaros día honda edades íntimas universo entero cruzaba manos oh día sueño ola dos juventudes hacia viento estallaron pasó mañana pasó agonía tarde muriéndose fondo lirio pasó alba noche resbalando astros exhibiéndose pétalos pasó letargo recuerdo mirarme voz derrotada dos manos cielo cerraron párpados tan sólo ráfaga ráfaga húmeda cortó sonrisa izó crepúsculos caras espanto nadabas olas retardadas inútiles parto dolor esperando llegaste fértil intacto blanco llevaste épico venciéndote mismo caminos cerrados hoy anda caricia derribada tendida inmenso azul sueños mañana ola abandono playas saltan certeras lágrimas amante ternura desgaja misma sueño remando aguas,comienzas
cristianos,daniel nuñodios amor verdad inconfundible dios amor tal inmensidad amor existe imposible pecador ofrece eterna paz indigno pensara sé merezco perdón mas amor limpia fiel ampara gracia precioso don dios amor tal manera hijo dio alma redimir cruz murió mansión eterno porvenir dios amor mas comprendo mortal rechace bondad desprecie don dios escogiendo perdición propia voluntad dios amor alma celebra dando alabanzas salvador bondad cambió suerte negra hoy brilla lumbre amor,dios amor daniel nuño
Pablo Neruda,esperanza considerar presagio puro definitivo beso enterrar corazón someter orígenes desamparo inteligencia suave seguro aguas eternamente turbadas vitales rápidas alas nuevo ángel sueños instalar hombros dormidos seguridad perpetua tal manera camino estrellas muerte violento vuelo comenzado hace días meses siglos tal vez debilidad natural seres recelosos ansiosos busca súbito permanencia tiempo límites tierra tal vez fatigas edades acumuladas implacablemente extienden ola lunar océano recién creado litorales tierras angustiosamente desiertas ay siga existiendo cesando existir obediencia ordene tales condiciones hierro temblor muertes nacimientos conmueva profundo sitio quiero reservar eternamente pues alguna parte tiempo establecido asegurado ardiente testigo cuidadosamente destruyéndose preservándos incesantemente evidentemente empeñado deber original,significa sombras
Antonio Fernández Lera,superficie partida invisibles triángulos dispuestos entrada ojo lástima debajo triángulo principal forman pezones ombligo centro mismo esplendoroso campo carne oculte selva pubis sexo imaginado olor pelo revuelto satisfecho ahora descanso lástima desviar vista hacia piedra gris ver cuerpos desnudos aún tocándose bajo extraña niebla sé hace ahí medio cierto niño gordo mano agua mientras mujer pulcra remilgada hace sorda si menos posible imaginar enjambre sexo debajo faldas,amor sagrado amor profano
Oliverio Girondo,absorto tedio abierto fosanoche inululada seca grieta abierta subsonríe agrís recato abierto insisto insomne tantas muertesones inciensosón revuelo hacia destiempo inmóvil tan amargas manos abierto eco cruento costumbre pulso mal digo mero nimio glóbulo abierto extraño voraz queda herrumbre circunroe parietales costas abiertas murmurio masombra mientras abren puertas,puertas
Miguel de Unamuno,voy aquí quiero oírme voz toda voz suéname eco falta así confesor si peco escapa poder arrepentirme hallo afirme humano resulto hueco si cárcel fin trueco vacío acabaré hundirme oh triste soledad engaño creerse humana compañía moviéndose espejos ermitaño ido muriendo llegar día espejo espejos extraño mismo descubro vivía,horas insomnio
Pablo Neruda,sirve ciervo cierva sirve perro perra abeja abejo tigresa tigre camella camello ballena balleno rinoceronte soltero sirve gato gata ruiseñor ruiseñora paloma palomo caballito caballa cangreja cangrejo agujero raíces casarse peces mar pumas pumería zorros cola engañosa pulgas hambrientas provincia procrear dice tierra voz tan invisible ven tocan oyen esperan,bodas
Oliverio Girondo,palpable mórbido conco fondo ardido tanturbios tensas sondas hondas reflujos ondas carne pistilos núbiles contráctiles anexos nidos languiformes férvidos subsobornos innúmeros tacto mosto azul desnudo cada veta cada vena sueño eco sangre somnilocuas noches alto croar celeste animabisman soliloquio vértigo cuanto adhiere costas fluir pulso rojo cosmogozo vaciados rostros cauces morder tierra ignoto noto combo ver ser ososo impactos pasmo cuerda cualquier llaga dones dados internieblan órbitas sorbos euforia cualquier velar velado atento esqueleto piensa estéril lela estela microazar germen móvil encuentro entonces prófugos busca gratuita mititos ingerir tierra modo poroso pozo lato solo foso inmerso adentro sed sed sectaria finitos abrazos toda boca amor terco amormor pleamante colmo brote totem amor amor lacra amor gorgóneo médium olavecabracobra deliquio erecto entero ulululululula arpeialibaraña ego soplo centro exhalar tierra astroides trinos especies multillamas lenguas excrecreencias buzos lazo lares complejos incestos huesos corrientes desages convecinos muertos memoria luz mies desnuda axilas siesta giro hondo lodo menos menos afines cogirantes destete enteco destente neutro morirla,morirla
Jesús Hilario Tundidor,tierra españa yace siglos arropada injustamente dormida bajo juventud potro hombre triste alberti amigo compañero orilla esperanza oh bajo corazón nombro silencio durísima ceniza patria quién puso palabra comercio sangre muerte unida niñez quién hizo miedo calles quién despojo limpia ternura niños recuerdo ahora color vida ponía tarde cómo calzaba sueños cómo crecimientos iban luz terrible repente igual agua fría cayó tristeza siempre varones acosados lágrimas perdida fe perdida generación larga espera acuso hoy hombre pecho alto viento verde atiza espaldas rasa atardecida abrirá puentes silencio querrá darnos voz juventud aire claro alegría humilde alberti alberti si vieras espigas patria cielo azul alcotán alma mísera castilla aún tan hermosa tan apagada tan vencida tomando amistad hombro izquierdo si aquí llevaría mañana campo vieras palomas blancas grises zuritas hablaría viejo padre cosas sencillas ver si hablarte oírte lleno amor sueño metal puro alfar españa amanecía,epístola rafael alberti
Vicente Huidobro,barca alejaba olas cóncavas garganta plumas brotaban canciones nube humo pañuelo batían viento flores solsticio florecen vacío vano llorado poder recogerlas último verso nunca cantado levantando niño viento mujer decía adiós playa todas golondrinas rompieron alas,depart
Mario Benedetti,ocurre vas llegar distinta exactamente linda fuerte dócil cauta tan solo vas llegar distinta si temporada verme sorprendido vos quizá sabes cómo pienso enumero después nostalgia existe aunque lloremos andenes fantasmales almohadas candor bajo cielo opaco nostalgio nostalgias cómo revienta nostalgie rostro vanguardia tal vez llega primero pinto paredes trazos invisibles seguros olvides rostro mira pueblo sonríe rabia canta pueblo da lumbre inapagable ahora dudas vas llegar distinta señales nuevas hondura franqueza sé voy quererte preguntas sé vas quererme respuestas,bienvenida
Federico García Lorca,mozos monleón arar temprano ay ay ir corrida remudar despacio ay ay hijo velluda remudo dado ay ay toro ir aunque vaya prestado ay ay permita dios si encuentras traigan carro albarcas sombrero siniestros colgando cogen garrochones van navas abajo preguntando toro toro encerrado mitad camino mayoral encontraron muchachos vais toro mirad toro malo leche mamó di mano presentan plaza cuatro mozos gallardos ay ay manuel sánchez llamó toro nunca llamado ay ay pico albarca toda plaza arrastrando ay ay toro dejó dejado sangrando ay ay amigos muero amigos malo tres pañuelos dentro meto cuatro llamen confesor pa venga confesarlo confesor llegaba manuel sánchez expirado rico monleón piden bues carro ay ay pa llevar manuel sánchez torito matado ay ay puerta velluda arrecularon carro ay ay aquí hijo demandado ay ay,mozos monleón
Rubén Darío,helena anuncia blancor cisne makheda anuncia pavo real ifigenia electra catalina anúncialas caballero hacha ruth lía enone anúncialas paje lirio yolanda anúnciala paloma clorinda carolina anúncialas paje ramo viña sylvia anúnciala corza blanca aurora isabel anúncialas pronto resplandor ciega ojos anuncian llega aún,heraldos
Lope de Vega,bien nacido propios males retrato celestial belisa mudas voces dulce risa destierro consuelo hiciste iguales ciego llorando niña ojos segunda vez entrañas sales mas pues blanco pie cielos pisa hombre tierra tan aprisa quebranta estrellas celestiales piedra cantaré mina pasa indio propio suelo hallé presto oro despojos perlas coral plata fina mas ay ángel llevólo cielo,sepultura teodora urbina
Juan Ramón Mansilla,queden palabras sé si resistirán íntegras tiempo visión mundo recuerdo si quiere descifre antiguos mensajes ofrecidos día día vida palabras hablan voces diversas si vaivén cada momento personajes distintos concitaran sueños tornados realidad concreta quedamente ofrecida vida sientas cantos sirenas sigas libre consciente común flor pájaro humano sueño buscamos halles quid verdad ofrecida vida,invocación
Santiago Montobbio,demasiados modos interpretar lluvia ofrecen películas demasiados modos demasiados ojos excesiva facilidad postal ridícula medias copa cigarrillo maquillados gestos imagen sopesan trituran absorben administran distancia muchacha excesiva ridícula menos digo repaso manual adioses vida comprendo cierto aquello suicidarme siempre dio trabajo suicidarme ausencia clínica demás patéticos retratos desbocados verdad sido diaria gran tarea causa afónico equipaje bien irme imponiendo tiempo altura sólo podría doctorarme absurda colección vaguedades intentara hacer ver ruinosos extremos puede llevarnos torpeza si siempre dominado expresión afectos,vida sentimental
Luis Cañizal de la Fuente,sino alguien intermedio pilar puente tedio va ayer hoy enmienda plana mário sácarneiro soñado joven alegre descubridor amigos ronco pico pato perdedor papeles tiempo comedor hortalizas noche juerga encontrador hermanos perdidos mañana paso ser campa feria desierta rincón portugal van cayendo horas justifican razón ser tras mantas caballitos ronquera reyertas tendidos cerámica zapatos humo hogueras voces pregones tropezones compradores torpes vientos tensos tendejones campaña imprecaciones miradas cielo tormenta nunca lleno habitado gente ajena pájaros cuenta,ave paso
Julia de Burgos,aquí desenfrenada estrella desatada buscando hombres víctima luz llegado universo mirada mar playa desembocando cauces infinitos amanecida nostalgia entretenida imitar palomas mirarte verme entera luz rodando azul barcos puertos inútil sombra pupilas algún soplo inocente debe haberse dormido entrañas frondas víctima luz llama amor labios olvidar sendas disponerte manejar viento brazos iniciado luz víctima pareces espiga debajo alma pleamar tendida bajo corazón,víctima luz
Fray Luis de León,aquí envidia mentira encerrado dichoso humilde sabio retira aqueste mundo malvado pobre mesa casa campo deleitoso sólo dios compasa solas vida pasa envidiado envidioso,oda xxiii salida cárcel
Miguel de Unamuno,preguntes secreto secreto terrible santo velo negro manto luto piedad rompo seto cierra recinto someto vida misterio desencanto huyendo saber dios levanto ojos pecho siempre inquieto alma fondo oscura sima fatídico recodo nefando franquear allá cima brilla sol hace polvo sucio lodo alza ojos pecho anima conócete mortal mas,secreto
José Luis Piquero,discípulos miraban pues sabían quién hablaba mt largamente adiestrados sospecha hartos mentirnos canallas sonríen mientras sorben whiskys tiempo contrición hecho daño hoy si intento mirarnos alcanza ver centro cosas veo monstruos perfectos moscas cristal embargo tiempo rosas salvajes mundo habitamos solas amantes plurales buena mano distraída hombro beber mismo vaso lentas ceremonias saliva desnudos verdad cielo borracho noche inventada noche salón llenamos humo casi oscuras miedo noche quita aún queda rosas manos hombro amigos tantas veces traicionados después mentiras perdonémonos aún mientras tiempo fondo seguimos siendo aquellos amantes luego si verdad sólo hace daño volvamos mentirnos vez serio entonces refugiémonos juntos gran mentira redentora cascada salvaje nadar desnudos copas cristal cabezas reposando pechos tranquilos ah quiero quiero muera acaso dura día huella inolvidable frente humo disperso bar noche humo asfixian agua hielo sabor bultos niebla muriendo importa hace tarde pensad música silbada dos luces sonríe agua cuerpos paz consigo juguetes calor islas agradecidas preferís verdad destino automático adiós traicionados amigos tiempo amé facciones luz afea enrarece va amanecer día flores secas clausuremos mundo beso,dijo judas noche
David Escobar Galindo,hablando dios desvive secreto valimiento ábreme dios juego venas voz cartílagos contusos animación floral abusos cariñoso abismo sirenas estupor luz entrenas salar mares inconclusos pese crédulos ilusos oscuridad manos llenas sólo ser hable aprensible mejor lengua corrosiva encarna verbo remisible alto cuévano agua fugitiva si bebiéndote bebo imposible asustes dios derriba,soneto
José Asunción Silva,soñaba entonces forjar poema arte nervioso nuevo obra audaz suprema escogí asunto grotesco trágico llamé ritmos conjuro mágico ritmos indóciles vinieron acercándose juntándose sombras huyéndose buscándose ritmos sonoros ritmos potentes ritmos graves choques armas cantos aves oriente occidente sur norte metros formas presentó corte tascando frenos áureos bajo riendas frágiles cruzaron tercetos corceles ágiles abriéndose ancho paso aquella grey vestido oro púrpura llegó soneto rey allí cantaron algarabía fascinó espíritu coquetería alguna estrofa aguda excitó deseo retintín claro campanilleo escogí todas regalo nupcial di unas rimas ricas plata cristal conté cuento huyendo servil tomó carácter trágico fantástico sutil historia triste desprestigiada cierta mujer hermosa idolatrada muerta sintieran amargura exprofeso junté sílabas dulces sabor beso bordé frases oro di música extraña mandolinas laúd acompaña dejé luz vaga hondas lejanías llenas nieblas húmedas melancolías fondo oscuro mundana fiesta cruzan ágiles máscaras compás orquesta envueltas palabras ocultan velo caretas negras raso terciopelo cruzar hice fondo vagas sugestiones sentimientos místicos humanas tentaciones complacido versos orgullo artista di olor heliotropos color amatista mostré poema crítico estupendo leyó seis veces dijo entiendo,poema
Delfina Acosta,celo niñas imposibles rostros brasa lágrimas nieve encuentras madre parecida razón mudable llueve quiero quieres mas basta promesa quererse siempre amor lleva letra simple triste carta enciende veces miras notar cielo dices ejemplo quieres juego muerta distraigo mirando cómo pasto oscurece amarme besarme morderte luego lamerte cayó adiós cayó después lluvia última tarde diciembre,otelo
Ángel González,i realidad propone siempre sueños mas sólo elige mirada madruga verla sol procede aunque crea luz ordena fija mundo formas bellas damas altas calandrias vistas así cosas iluminadas amor tan claro cómo van negarse dóciles entregadas alto vuelo demoran esperan eternizan ii cazadoras filo aurora cobrar plenitud guardar canto trofeo volar alas mundo fugaz esquivo raudo salta sido pupilas aún rápidas lanzan dardos certeros difícil blanco ofrece hoy mañana escorzo cristal pasa huyendo sé jaurías invisibles instante iris rasga silencio luz ilesa ahí eternidad dos palabras,glosas homenaje jg
Alfredo Buxán,silenciosa cosecha años agosta cajones envejece conmigo tarde tarde mano distrae quitándoles polvo vestigios emoción niegan morir vuelven siempre sumisos anónimo reposo espera alinean azar bajo inseguros rótulos alivian huellas paso tiempo austeros epitafios sombras murmuraciones vagas acogen gatos escueta caricia melancolía,espera
San Juan de la Cruz,pastorcico solo penado ageno plazer contento pastora puesto pensamiento pecho amor lastimado llora averle amor llagado pena verse así affligido aunque coraón herido mas llora pensar olbidado sólo pensar olbidado vella pastora gran pena dexa maltratar tierra agena pecho amor mui lastimado dize pastorcito ay desdichado aquel amor hecho ausencia quiere gozar presencia pecho amor lastimado cavo gran rato encumbrado árbol do abrió braos vellos muerto quedado asido dellos pecho amor lastimado,pastorcico
José Asunción Silva,lord tennyson oh voces silenciosas muertos hora muda vestida fúnebres crespones desfilar haga turbios ojos fantasmas inciertos pálidas visiones oh voces silenciosas muertos hora aterra llaméis hacia pasado oscuro camino vida cruza valles tierra oh voces silenciosas muertos llamadme hacia altura camino astros corta gélida negrura hacia playa alma arriba llamadme entonces voces silenciosas hacia arriba hacia arriba,voces silenciosas
Federico García Lorca,sólo corazón caliente paraíso campo ruiseñor liras río discreto fuentecilla espuela viento fronda estrella quiere ser hoja enorme luz luciérnaga campo miradas rotas reposo claro allí besos lunares sonoros eco abrirían lejos corazón caliente,deseo
Garcilaso de la Vega,escrito alma gesto cuanto escribir vos deseo vos sola escribisteis leo tan solo aun vos guardo siempre puesto aunque cabe cuanto vos veo bien entiendo creo tomando fe presupuesto nací sino quereros alma cortado medida hábito alma mismo quiero cuanto confieso deberos vos nací vos vida vos morir vos muero,soneto v
Vicente García,veces preguntas vida caso sigas sigas solo asomado balcón plaza desierta horas horas días días si nadie comparte contigo si sientes calor mano junto cómo abrir puerta quizá existe,solo
Pablo Neruda,sucede canso ser hombre sucede entro sastrerías cines marchito impenetrable cisne fieltro navegando agua origen ceniza olor peluquerías hace llorar gritos sólo quiero descanso piedras lana sólo quiero ver establecimientos jardines mercaderías anteojos ascensores sucede canso pies uñas pelo sombra sucede canso ser hombre embargo delicioso asustar notario lirio cortado dar muerte monja golpe oreja bello ir calles cuchillo verde dando gritos morir frío quiero seguir siendo raíz tinieblas vacilante extendido tiritando sueño hacia abajo tripas moradas tierra absorbiendo pensando comiendo cada día quiero tantas desgracias quiero continuar raíz tumba subterráneo solo bodega muertos aterido muriéndome pena día lunes arde petróleo ve llegar cara cárcel aúlla transcurso rueda herida da pasos sangre caliente hacia noche empuja ciertos rincones ciertas casas húmedas hospitales huesos salen ventana ciertas zapaterías olor vinagre calles espantosas grietas pájaros color azufre horribles intestinos colgando puertas casas odio dentaduras olvidadas cafetera espejos debieran haber llorado vergenza espanto paraguas todas partes venenos ombligos paseo calma ojos zapatos furia olvido paso cruzo oficinas tiendas ortopedia patios ropas colgadas alambre calzoncillos toallas camisas lloran lentas lágrimas sucias,walking around
Jorge Luis Borges,mirar río hecho tiempo agua recordar tiempo río saber perdemos río rostros pasan agua sentir vigilia sueño sueña soñar muerte teme carne muerte cada noche llama sueño ver día año símbolo días hombre años convertir ultraje años música rumor símbolo ver muerte sueño ocaso triste oro tal poesía inmortal pobre poesía vuelve aurora ocaso veces tardes cara mira fondo espejo arte debe ser espejo revela propia cara cuentan ulises harto prodigios lloró amor divisar itaca verde humilde arte itaca verde eternidad prodigios río interminable pasa queda cristal mismo heráclito inconstante mismo río interminable,arte poética
José Ángel Valente,entró inclinó besarla recibía fuerza mujer miraba respuesta espejo humedecido imitaba vida vagamente apretó corbata corazón sorbió café desvanecido turbioexplicó proyectos hoysus sueños ayer deseos nunca jamás contemplaba silenciosa habló nuevo recordó lucha tantos días amor pasado vida inesperado dijo frágiles nunca palabras fin calló silencio ellase acercó labios lloró simplemente aquellos labios siempre si respuesta,adiós
Pedro Salinas,quietas dormidas treinta redondas blancas todas sostienen mundo míralas aquí sueño nubes redondas blancas dentro destinos trueno rayo destinos lluvia lenta nieve viento signos despiértalas contactos saltarines dedos rápidos leves músicas antiguas suenan música fantasías metal valses duros dictado alcen siglos todas iguales distintas olas mar gran alma secreta crean carta fórmula siempre alócate bien dedos raptas lanzas treinta eternas ninfas gran mundo vacío blanco blanco fin hazaña pura palabras zeda jota i,underwood girls
Alfredo Lavergne,tontas ciudades vírgenes cada instinto surge ley fin creo puerta psicólogo cola coca festivales estivales melenas analíticas ferrocarril subterráneo hombres imaginados van guerra ángeles nacen perdonar soldado bobas regiones esperan mujeres hombres dirán ser amados,aeropuerto colectivo
Salvador Díaz Mirón,radiosa faz blanca tranquila bajo dosel melena blonda abismo tan profundo pupila pérfida azulada onda fulgor soñoliento destella ojos siempre reproche viene mirada estrella cielo ennegrecido noche rojo labio abeja sacia sed miel aroma embeleso sido modelada gracia oración beso voz ora aguda ora grave llena gratitud suena oído saludo arrullador ave sol naciente despierta nido,margarita
Odette Alonso,dora extremo puente luz intensa enceguece luz cambia nociones brújulas atrofian certeza mapas desdibujan contornos noche apaga verdad firmamento sólo queda camino lleva final puente basta extender manos preparar salto caer hacia abismo luminoso ojos,puente
José Ángel Buesa,decir adiós vida digo adiós sigo volver amar castigo amaron exceso amar amar toda vida arder llama saber ama saber olvida coger rosas beber vino vino andar andar camino conduce parte alguna buscar luz eterniza clara lumbre durarera fin saber hoguera dura ceniza sentir sed cada fuente ver sombra cada abismo amor siempre mismo siempre diferente sordo desacuerdo soñado vivido siempre fondo olvido nace muerte recuerdo angustia cesa toca alma toca besar sombra boca cada boca besa,sed insaciable
Luis Cañizal de la Fuente,alegre errabundo sales pozos lóbregos entras pañuelo aire torea considerado flámula seda ligeramente húmeda respiras embistes hacia adentro bebiendo sabor placenta plaza lenta pureza corrupta percibes verdad ahí toro ensabanado mar delicados dedos sudorosos toque sien noche encorva doblega entrar caverna olfato convertido cuervo da apretón jovial pico ala torso pecho mantazo talante torero tolerante pulmones bienhumorado torero calor aceitunado noche mar barcelona,carrer pou dol
Gabriela Mistral,oprimas manos llegará duradero tiempo reposar polvo sombra entretejidos dedos dirías puedo amarla desgranaron mieses dedos beses boca vendrá instante lleno luz menguada labios mojado suelo dirías amé puedo amarla ahora aspira olor retamas beso angustiara oyéndote hablaras loco ciego mano frente rompan dedos bajará cara llena ansia aliento toques mentiría decir entrego amor brazos extendidos boca cuello creer bebiste engañarías niño ciego amor sólo gavilla reacia fatigada cuerpo tiembla entera roce cilicio rezaga vuelo beso labio rompe voz pecho viento dios pasa hendiéndome gajo carnes volandero,íntima
Juan Ramón Jiménez,cada hora parece agujero estrella atraída afán quema alma ay cendal vida agujereado paño pobre estrella viva viéndose cada májico agujero oscuro,cada hora parece
Mario Meléndez,caperucita nunca imaginó lobo dejaría nunca hizo caso consejos materia amorosa daba abuelita mañana lobo dijo caperucita quiero terminar contigo excita perseguirte bosque agrada disfrazarme abuelita digas tonterías siempre si orejas grandes colmillos tan filudos estúpido responda oírte olerte verte mejor caperucita remedio entonces caperucita desconcertada aquella confesión echó correr tan lejos pudo pensando clase mujer conquistado corazón amante ser repetía niña mientras buscaba desesperadamente casa anciana abuelita gritó fin contemplado figura yacía lecho cómo pudiste hacerme amiga confiaba siento dijo nunca pensé quedar embarazada edad menos alguien tan inteligente imaginativo obstante lobo responsable dudó minuto ofrecerme matrimonio conocer noticia siento caperucita buscarte después único lobo mundo,
Bertolt Brecht,escapé tigres alimenté chinches comido vivo mediocridades,epitafio
Gustavo Adolfo Bécquer,dos rojas lenguas fuego mismo tronco enlazadas aproximan besarse forman sola llama dos notas laúd tiempo mano arranca espacio encuentran armoniosas abrazan dos olas vienen juntas morir playa romper coronan penacho plata dos jirones vapor lago levantan juntarse allá cielo forman nube blanca dos ideas par brotan dos besos tiempo estallan dos ecos confunden dos almas,rima xxiv
Mario Benedetti,sos mayor edad despedirte pesimismo años preparo desayuno vigilo tos mal agero tomo fiebre trato narrarte pormenores pasado mediato convencerte fondo gallardos leales mal tiempo buena cara si seguís malhumorado arisco insociable repantigás avería si butaca pullman ve fruición malogro viejo idilio mala sombra manía orar junto ruinas goce desastre inesperado claro voy despedirte sé hice tenés propio método hacerte necesario deja triste tristeza amargo amargura alarmista alarma sé vas decirme motivos euforia celebraciones claro cuandonó tenés razón tan boba razón tan obvia tan remendada remedada tan igualita pálpito enseguida vuelve sinrazón sos mayor edad chau pesimismo favor andate despacito despertar monstruo,chau pesimismo
José Luis Piquero,verla partir amarla nunca nicolás guillén quise querer elegir mismo ahora ido saber mundo deja dormir perdido recorro calle ver si suerte atrevo llamarla juego tarde encontrarla sé casualmente encuentro hacer pierdo amo mismo cualquier olvido cobarde olvido atrevo llamo ido,canción
Manuel Machado,silvio rebello hada pequeñita piedras preciosas vive coral busca gnomo habita corteza rugosa antiguo nogal juntos mano hacer travesuras aquella noche van hermana hermano sendas oscuras selva ideal detrás va cortejo dudas sospechas marcha triunfal saluda crimen viejo ruge canta endechas voz puñal van presentimientos junto intenciones recuerdos van malos pensamientos locas tentaciones ahogadas brotar sueños vida perdido pasó vendrá vagas curvas ensueños casi sido tal vez va callado cruzando cortejo discreto selva ideal viene día temblando va romper secreto aurora despuntar mas sólo vio mostrarse burbuja olas mar cara borrarse corteza pobre antiguo nogal,fantasía puck
Rubén Darío,alba aún aparece gloria oro canta mar música ninfas coro aliento campo va cuajando bruma teje náyade encaje espuma bosque inicia himno flautas pluma momento salvaje caballero ve pasar tribu aúlla ligero caballo relámpago veloz idea paso asustada marea náyade interrumpe labor ejecuta director bosque detiene batuta pasadesde lecho pregunta venus bella apolo sagitario robado estrella,epitalamio bárbaro
Juan Ramón Mansilla,levantarse oír correr agua ducha hervor café subir persiana ver huir dos pájaros salir calle notar viento rostro diferente hallas afuera vallado rosales rebrotan fila moreras acera contraria conoces presagie peligros emboscadas aunque pienses si amor muerte rondan hoy tras pasos,amanecer
Dina Posada,manos siempre encuentran piel senda inexplorada zarpar rabiosa gana apetecida boca relámpago carnal manos saben evadir rutina pienso humedece memoria impaciente aguardo,exploradoras
Claribel Alegría,cada vez amo vida muerte presentes amanecer noche paraíso sepulcro,cada vez
Luis de Góngora,si vista llorar cansada cosa puede prometer certeza bellísima aquella fortaleza generosamente edificada palacio bella celebrada templo amor alcázar nobleza nido fénix mayor belleza bate edad pluma dorada muro sojuzgáis verde llano torres defendéis noble muro almenas torres corona dueño soberano merezcáis ver celestial persona representadle destierro duro,casa campo
Rosalía de Castro,hora tras hora día tras día cielo tierra quedan eternos vigías torrente despeña pasa vida devolvedle flor perfume después marchita ondas besan playa tras besándola expiran recoged rumores quejas planchas bronce grabad armonía tiempos llantos risas negros tormentos dulces mentiras ay dónde rastro dejaron dónde alma,hora tras hora día tras día
